#                                    _                                            _
#   ___ __ _ ___ ___  __ _ _ __   __| |_ __ __ _        _____  ___ __   ___  _ __| |_ ___ _ __
#  / __/ _` / __/ __|/ _` | '_ \ / _` | '__/ _` |_____ / _ \ \/ / '_ \ / _ \| '__| __/ _ \ '__|
# | (_| (_| \__ \__ \ (_| | | | | (_| | | | (_| |_____|  __/>  <| |_) | (_) | |  | ||  __/ |
#  \___\__,_|___/___/\__,_|_| |_|\__,_|_|  \__,_|      \___/_/\_\ .__/ \___/|_|   \__\___|_|
#                                                               |_|
#
# TYPE cassandra_node_operation_latency_seconds summary
cassandra_node_operation_latency_seconds_sum{operation="write",cassandra_cluster="eric-bss-cil-database-cd",cassandra_node="192.168.225.83:7001",cassandra_datacenter="cil1",cassandra_rack="rack1"} 0.695621 1670359387046
cassandra_node_operation_latency_seconds_count{operation="write",cassandra_cluster="eric-bss-cil-database-cd",cassandra_node="192.168.225.83:7001",cassandra_datacenter="cil1",cassandra_rack="rack1"} 2229.0 1670359387046
cassandra_node_operation_latency_seconds{operation="write",quantile="0.5",cassandra_cluster="eric-bss-cil-database-cd",cassandra_node="192.168.225.83:7001",cassandra_datacenter="cil1",cassandra_rack="rack1"} 7.3457E-5 1670359387046
cassandra_node_operation_latency_seconds{operation="write",quantile="0.75",cassandra_cluster="eric-bss-cil-database-cd",cassandra_node="192.168.225.83:7001",cassandra_datacenter="cil1",cassandra_rack="rack1"} 8.8148E-5 1670359387046
cassandra_node_operation_latency_seconds{operation="write",quantile="0.95",cassandra_cluster="eric-bss-cil-database-cd",cassandra_node="192.168.225.83:7001",cassandra_datacenter="cil1",cassandra_rack="rack1"} 1.26934E-4 1670359387046
cassandra_node_operation_latency_seconds{operation="write",quantile="0.98",cassandra_cluster="eric-bss-cil-database-cd",cassandra_node="192.168.225.83:7001",cassandra_datacenter="cil1",cassandra_rack="rack1"} 1.52321E-4 1670359387046
cassandra_node_operation_latency_seconds{operation="write",quantile="0.99",cassandra_cluster="eric-bss-cil-database-cd",cassandra_node="192.168.225.83:7001",cassandra_datacenter="cil1",cassandra_rack="rack1"} 1.52321E-4 1670359387046
cassandra_node_operation_latency_seconds{operation="write",quantile="0.999",cassandra_cluster="eric-bss-cil-database-cd",cassandra_node="192.168.225.83:7001",cassandra_datacenter="cil1",cassandra_rack="rack1"} 1.52321E-4 1670359387046
cassandra_node_operation_latency_seconds_sum{operation="range_read",cassandra_cluster="eric-bss-cil-database-cd",cassandra_node="192.168.225.83:7001",cassandra_datacenter="cil1",cassandra_rack="rack1"} 1.318694 1670359387046
cassandra_node_operation_latency_seconds_count{operation="range_read",cassandra_cluster="eric-bss-cil-database-cd",cassandra_node="192.168.225.83:7001",cassandra_datacenter="cil1",cassandra_rack="rack1"} 2798.0 1670359387046
