pod,timestamp,value
eric-bss-cil-database-cd-cil1-rack1-0,1669203495.286,0.043388627
eric-bss-cil-database-cd-cil1-rack2-0,1669203495.286,0.001131752
eric-bss-cil-database-cd-cil1-rack3-0,1669203495.286,0.000785939
eric-bss-cil-database-cd-cil1-rack4-0,1669203495.286,0.000943127
eric-bss-cil-database-cd-cil1-rack1-0,1669203502.286,0.02510916
eric-bss-cil-database-cd-cil1-rack2-0,1669203502.286,0.001131752
eric-bss-cil-database-cd-cil1-rack3-0,1669203502.286,0.000785939
eric-bss-cil-database-cd-cil1-rack4-0,1669203502.286,0.000943127
eric-bss-cil-database-cd-cil1-rack1-0,1669203509.286,0.02510916
eric-bss-cil-database-cd-cil1-rack2-0,1669203509.286,0.001131752
eric-bss-cil-database-cd-cil1-rack3-0,1669203509.286,0.000785939
eric-bss-cil-database-cd-cil1-rack4-0,1669203509.286,0.000943127
eric-bss-cil-database-cd-cil1-rack1-0,1669203516.286,0.0209243
eric-bss-cil-database-cd-cil1-rack2-0,1669203516.286,0.001131752
eric-bss-cil-database-cd-cil1-rack3-0,1669203516.286,0.001358102
eric-bss-cil-database-cd-cil1-rack4-0,1669203516.286,0.000943127
eric-bss-cil-database-cd-cil1-rack1-0,1669203523.286,0.0209243
eric-bss-cil-database-cd-cil1-rack2-0,1669203523.286,0.001131752
eric-bss-cil-database-cd-cil1-rack3-0,1669203523.286,0.001358102
eric-bss-cil-database-cd-cil1-rack4-0,1669203523.286,0.000943127
eric-bss-cil-database-cd-cil1-rack1-0,1669203530.286,0.02510916
eric-bss-cil-database-cd-cil1-rack2-0,1669203530.286,0.001131752
eric-bss-cil-database-cd-cil1-rack3-0,1669203530.286,0.001358102
eric-bss-cil-database-cd-cil1-rack4-0,1669203530.286,0.001629722
eric-bss-cil-database-cd-cil1-rack1-0,1669203537.286,0.02510916
eric-bss-cil-database-cd-cil1-rack2-0,1669203537.286,0.001131752
eric-bss-cil-database-cd-cil1-rack3-0,1669203537.286,0.001358102
eric-bss-cil-database-cd-cil1-rack4-0,1669203537.286,0.001629722
eric-bss-cil-database-cd-cil1-rack1-0,1669203544.286,0.02510916
eric-bss-cil-database-cd-cil1-rack2-0,1669203544.286,0.002816159
eric-bss-cil-database-cd-cil1-rack3-0,1669203544.286,0.001358102
eric-bss-cil-database-cd-cil1-rack4-0,1669203544.286,0.01210897
eric-bss-cil-database-cd-cil1-rack1-0,1669203551.286,0.02510916
eric-bss-cil-database-cd-cil1-rack2-0,1669203551.286,0.002816159
eric-bss-cil-database-cd-cil1-rack3-0,1669203551.286,0.001358102
eric-bss-cil-database-cd-cil1-rack4-0,1669203551.286,0.01210897
eric-bss-cil-database-cd-cil1-rack1-0,1669203558.286,0.030130992
eric-bss-cil-database-cd-cil1-rack2-0,1669203558.286,0.002816159
eric-bss-cil-database-cd-cil1-rack3-0,1669203558.286,0.004055269
eric-bss-cil-database-cd-cil1-rack4-0,1669203558.286,0.01210897
eric-bss-cil-database-cd-cil1-rack1-0,1669203565.286,0.030130992
eric-bss-cil-database-cd-cil1-rack2-0,1669203565.286,0.002816159
eric-bss-cil-database-cd-cil1-rack3-0,1669203565.286,0.004055269
eric-bss-cil-database-cd-cil1-rack4-0,1669203565.286,0.01210897
eric-bss-cil-database-cd-cil1-rack1-0,1669203572.286,0.030130992
eric-bss-cil-database-cd-cil1-rack2-0,1669203572.286,0.002816159
eric-bss-cil-database-cd-cil1-rack3-0,1669203572.286,0.004055269
eric-bss-cil-database-cd-cil1-rack4-0,1669203572.286,0.010090808
eric-bss-cil-database-cd-cil1-rack1-0,1669203579.286,0.030130992
eric-bss-cil-database-cd-cil1-rack2-0,1669203579.286,0.003379391
eric-bss-cil-database-cd-cil1-rack3-0,1669203579.286,0.005839588
eric-bss-cil-database-cd-cil1-rack4-0,1669203579.286,0.010090808
eric-bss-cil-database-cd-cil1-rack1-0,1669203586.286,0.03615719
eric-bss-cil-database-cd-cil1-rack2-0,1669203586.286,0.003379391
eric-bss-cil-database-cd-cil1-rack3-0,1669203586.286,0.005839588
eric-bss-cil-database-cd-cil1-rack4-0,1669203586.286,0.010090808
eric-bss-cil-database-cd-cil1-rack1-0,1669203593.286,0.03615719
eric-bss-cil-database-cd-cil1-rack2-0,1669203593.286,0.003379391
eric-bss-cil-database-cd-cil1-rack3-0,1669203593.286,0.005839588
eric-bss-cil-database-cd-cil1-rack4-0,1669203593.286,0.010090808
eric-bss-cil-database-cd-cil1-rack1-0,1669203600.286,0.03615719
eric-bss-cil-database-cd-cil1-rack2-0,1669203600.286,0.003379391
eric-bss-cil-database-cd-cil1-rack3-0,1669203600.286,0.005839588
eric-bss-cil-database-cd-cil1-rack4-0,1669203600.286,0.004866323
eric-bss-cil-database-cd-cil1-rack1-0,1669203607.286,0.030130992
eric-bss-cil-database-cd-cil1-rack2-0,1669203607.286,0.003379391
eric-bss-cil-database-cd-cil1-rack3-0,1669203607.286,0.005839588
eric-bss-cil-database-cd-cil1-rack4-0,1669203607.286,0.004866323
eric-bss-cil-database-cd-cil1-rack1-0,1669203614.286,0.030130992
eric-bss-cil-database-cd-cil1-rack2-0,1669203614.286,0.003379391
eric-bss-cil-database-cd-cil1-rack3-0,1669203614.286,0.005839588
eric-bss-cil-database-cd-cil1-rack4-0,1669203614.286,0.004866323
eric-bss-cil-database-cd-cil1-rack1-0,1669203621.286,0.03615719
eric-bss-cil-database-cd-cil1-rack2-0,1669203621.286,0.003379391
eric-bss-cil-database-cd-cil1-rack3-0,1669203621.286,0.005839588
eric-bss-cil-database-cd-cil1-rack4-0,1669203621.286,0.014530764
eric-bss-cil-database-cd-cil1-rack1-0,1669203628.286,0.03615719
eric-bss-cil-database-cd-cil1-rack2-0,1669203628.286,0.003379391
eric-bss-cil-database-cd-cil1-rack3-0,1669203628.286,0.005839588
eric-bss-cil-database-cd-cil1-rack4-0,1669203628.286,0.014530764
eric-bss-cil-database-cd-cil1-rack1-0,1669203635.286,0.03615719
eric-bss-cil-database-cd-cil1-rack2-0,1669203635.286,0.000943127
eric-bss-cil-database-cd-cil1-rack3-0,1669203635.286,0.001629722
eric-bss-cil-database-cd-cil1-rack4-0,1669203635.286,0.014530764
eric-bss-cil-database-cd-cil1-rack1-0,1669203642.286,0.03615719
eric-bss-cil-database-cd-cil1-rack2-0,1669203642.286,0.000943127
eric-bss-cil-database-cd-cil1-rack3-0,1669203642.286,0.001629722
eric-bss-cil-database-cd-cil1-rack4-0,1669203642.286,0.014530764
eric-bss-cil-database-cd-cil1-rack1-0,1669203649.286,0.03615719
eric-bss-cil-database-cd-cil1-rack2-0,1669203649.286,0.001629722
eric-bss-cil-database-cd-cil1-rack3-0,1669203649.286,0.001629722
eric-bss-cil-database-cd-cil1-rack4-0,1669203649.286,0.014530764
eric-bss-cil-database-cd-cil1-rack1-0,1669203656.286,0.03615719
eric-bss-cil-database-cd-cil1-rack2-0,1669203656.286,0.001629722
eric-bss-cil-database-cd-cil1-rack3-0,1669203656.286,0.001629722
eric-bss-cil-database-cd-cil1-rack4-0,1669203656.286,0.014530764
eric-bss-cil-database-cd-cil1-rack1-0,1669203663.286,0.03615719
eric-bss-cil-database-cd-cil1-rack2-0,1669203663.286,0.001629722
eric-bss-cil-database-cd-cil1-rack3-0,1669203663.286,0.002346799
eric-bss-cil-database-cd-cil1-rack4-0,1669203663.286,0.014530764
eric-bss-cil-database-cd-cil1-rack1-0,1669203670.286,0.03615719
eric-bss-cil-database-cd-cil1-rack2-0,1669203670.286,0.001629722
eric-bss-cil-database-cd-cil1-rack3-0,1669203670.286,0.002346799
eric-bss-cil-database-cd-cil1-rack4-0,1669203670.286,0.014530764
eric-bss-cil-database-cd-cil1-rack1-0,1669203677.286,0.03615719
eric-bss-cil-database-cd-cil1-rack2-0,1669203677.286,0.001629722
eric-bss-cil-database-cd-cil1-rack3-0,1669203677.286,0.002346799
eric-bss-cil-database-cd-cil1-rack4-0,1669203677.286,0.01210897
eric-bss-cil-database-cd-cil1-rack1-0,1669203684.286,0.03615719
