operation,client,data,timestamp,value
get,blob,cilrate/blob,1669203495.286,NaN
put,blob,cilrate/blob,1669203495.286,NaN
putBatch,blob,cilrate/blob,1669203495.286,NaN
get,blob,cilrate/blob,1669203502.286,NaN
put,blob,cilrate/blob,1669203502.286,NaN
putBatch,blob,cilrate/blob,1669203502.286,NaN
get,blob,cilrate/blob,1669203509.286,NaN
put,blob,cilrate/blob,1669203509.286,NaN
putBatch,blob,cilrate/blob,1669203509.286,NaN
get,blob,cilrate/blob,1669203516.286,NaN
put,blob,cilrate/blob,1669203516.286,NaN
putBatch,blob,cilrate/blob,1669203516.286,NaN
get,blob,cilrate/blob,1669203523.286,0.002828023123744706
put,blob,cilrate/blob,1669203523.286,NaN
putBatch,blob,cilrate/blob,1669203523.286,0.0024086272001874304
get,blob,cilrate/blob,1669203530.286,0.00296378700263119
put,blob,cilrate/blob,1669203530.286,NaN
putBatch,blob,cilrate/blob,1669203530.286,0.002525427374979281
get,blob,cilrate/blob,1669203537.286,0.00601796821008235
put,blob,cilrate/blob,1669203537.286,NaN
putBatch,blob,cilrate/blob,1669203537.286,0.005177197647679275
get,blob,cilrate/blob,1669203544.286,0.006284022939514834
put,blob,cilrate/blob,1669203544.286,NaN
putBatch,blob,cilrate/blob,1669203544.286,0.00539046923784247
get,blob,cilrate/blob,1669203551.286,0.008061934701134569
put,blob,cilrate/blob,1669203551.286,NaN
putBatch,blob,cilrate/blob,1669203551.286,0.006934797517229607
get,blob,cilrate/blob,1669203558.286,0.009185100109051722
put,blob,cilrate/blob,1669203558.286,NaN
putBatch,blob,cilrate/blob,1669203558.286,0.007984840338102409
get,blob,cilrate/blob,1669203565.286,0.010771460335023266
put,blob,cilrate/blob,1669203565.286,NaN
putBatch,blob,cilrate/blob,1669203565.286,0.00934971818617704
get,blob,cilrate/blob,1669203572.286,0.010771460335023266
put,blob,cilrate/blob,1669203572.286,NaN
putBatch,blob,cilrate/blob,1669203572.286,0.00934971818617704
get,blob,cilrate/blob,1669203579.286,0.005065270081681546
put,blob,cilrate/blob,1669203579.286,NaN
putBatch,blob,cilrate/blob,1669203579.286,0.0040351134200631664
get,blob,cilrate/blob,1669203586.286,0.005065270081681546
put,blob,cilrate/blob,1669203586.286,NaN
putBatch,blob,cilrate/blob,1669203586.286,0.0040351134200631664
get,blob,cilrate/blob,1669203593.286,0.002149410236085896
put,blob,cilrate/blob,1669203593.286,NaN
putBatch,blob,cilrate/blob,1669203593.286,0.0017572030099482511
get,blob,cilrate/blob,1669203600.286,0.002149410236085896
put,blob,cilrate/blob,1669203600.286,NaN
putBatch,blob,cilrate/blob,1669203600.286,0.0017572030099482511
get,blob,cilrate/blob,1669203607.286,0.001897827483802239
put,blob,cilrate/blob,1669203607.286,NaN
putBatch,blob,cilrate/blob,1669203607.286,0.0016674875434543636
get,blob,cilrate/blob,1669203614.286,0.001897827483802239
put,blob,cilrate/blob,1669203614.286,NaN
putBatch,blob,cilrate/blob,1669203614.286,0.0016674875434543636
get,blob,cilrate/blob,1669203621.286,0.001897827483802239
put,blob,cilrate/blob,1669203621.286,NaN
putBatch,blob,cilrate/blob,1669203621.286,0.0016674875434543636
get,blob,cilrate/blob,1669203628.286,0.003222002282942899
put,blob,cilrate/blob,1669203628.286,NaN
putBatch,blob,cilrate/blob,1669203628.286,0.0027599649812661787
get,blob,cilrate/blob,1669203635.286,0.003222002282942899
put,blob,cilrate/blob,1669203635.286,NaN
putBatch,blob,cilrate/blob,1669203635.286,0.0027599649812661787
get,blob,cilrate/blob,1669203642.286,0.007219268539403743
put,blob,cilrate/blob,1669203642.286,NaN
putBatch,blob,cilrate/blob,1669203642.286,0.006110247891792887
get,blob,cilrate/blob,1669203649.286,0.007219268539403743
put,blob,cilrate/blob,1669203649.286,NaN
putBatch,blob,cilrate/blob,1669203649.286,0.006110247891792887
get,blob,cilrate/blob,1669203656.286,0.017952516425298402
put,blob,cilrate/blob,1669203656.286,NaN
putBatch,blob,cilrate/blob,1669203656.286,0.01659984010799182
get,blob,cilrate/blob,1669203663.286,0.017952516425298402
put,blob,cilrate/blob,1669203663.286,NaN
putBatch,blob,cilrate/blob,1669203663.286,0.01659984010799182
get,blob,cilrate/blob,1669203670.286,0.01289863600118113
put,blob,cilrate/blob,1669203670.286,NaN
putBatch,blob,cilrate/blob,1669203670.286,0.01112464427450237
get,blob,cilrate/blob,1669203677.286,0.01289863600118113
put,blob,cilrate/blob,1669203677.286,NaN
putBatch,blob,cilrate/blob,1669203677.286,0.01112464427450237
get,blob,cilrate/blob,1669203684.286,0.006571907642342625
put,blob,cilrate/blob,1669203684.286,NaN
putBatch,blob,cilrate/blob,1669203684.286,0.005465325471566857
get,blob,cilrate/blob,1669203691.286,0.006571907642342625
put,blob,cilrate/blob,1669203691.286,NaN
putBatch,blob,cilrate/blob,1669203691.286,0.005465325471566857
get,blob,cilrate/blob,1669203698.286,0.002516709682256404
put,blob,cilrate/blob,1669203698.286,NaN
putBatch,blob,cilrate/blob,1669203698.286,0.0020485477891701897
get,blob,cilrate/blob,1669203705.286,0.002516709682256404
put,blob,cilrate/blob,1669203705.286,NaN
putBatch,blob,cilrate/blob,1669203705.286,0.0020485477891701897
get,blob,cilrate/blob,1669203712.286,0.0018906884613345116
put,blob,cilrate/blob,1669203712.286,NaN
putBatch,blob,cilrate/blob,1669203712.286,0.0016762617565789473
get,blob,cilrate/blob,1669203719.286,0.0018906884613345116
put,blob,cilrate/blob,1669203719.286,NaN
putBatch,blob,cilrate/blob,1669203719.286,0.0016762617565789473
get,blob,cilrate/blob,1669203726.286,0.0018906884613345116
put,blob,cilrate/blob,1669203726.286,NaN
putBatch,blob,cilrate/blob,1669203726.286,0.0016762617565789473
get,blob,cilrate/blob,1669203733.286,0.003078793759001895
put,blob,cilrate/blob,1669203733.286,NaN
putBatch,blob,cilrate/blob,1669203733.286,0.0026097784855529287
get,blob,cilrate/blob,1669203740.286,0.003078793759001895
put,blob,cilrate/blob,1669203740.286,NaN
putBatch,blob,cilrate/blob,1669203740.286,0.0026097784855529287
get,blob,cilrate/blob,1669203747.286,0.008391792099494741
put,blob,cilrate/blob,1669203747.286,NaN
putBatch,blob,cilrate/blob,1669203747.286,0.007202771997558347
get,blob,cilrate/blob,1669203754.286,0.008391792099494741
put,blob,cilrate/blob,1669203754.286,NaN
