StartDateTime;EndDateTime;Task;Number of calls (N);Min wait (ms);Max wait (ms);Mean wait (ms);Tps;Mean * N;Success rate (%);Number of failures;Number of errors;
2019-08-05T16:17;2019-08-05T16:27;cil-10.61.80.30.getDataListForSegment.cil.storageconfig;3492;5.52;16.56;6.13;5.82;21408;100.00;0;0;
2019-08-05T16:17;2019-08-05T16:27;cil-10.61.80.40.sync-get.cpm.partition_lookup;4659;0.28;20.74;0.76;7.79;3517;100.00;0;0;
2019-08-05T16:17;2019-08-05T16:27;cil-10.61.80.40.sync-get.cpm.contactmediumspecification;4175;0.24;17.91;0.54;6.96;2239;100.00;0;0;
2019-08-05T16:17;2019-08-05T16:27;cil-10.61.80.40.sync-getRecursive.cpm_partition__1.customers;1333;0.65;16.07;1.53;2.23;2037;100.00;0;0;
2019-08-05T16:17;2019-08-05T16:27;cil-10.61.80.40.sync-getRecursive.cpm_partition__3.customers;1344;0.63;8.41;1.51;2.25;2026;100.00;0;0;
2019-08-05T16:17;2019-08-05T16:27;cil-10.61.80.40.sync-getList.cpm.translations;1458;0.36;7.89;1.32;2.44;1920;100.00;0;0;
2019-08-05T16:17;2019-08-05T16:27;cil-10.61.80.40.sync-getRecursive.cpm_partition__2.customers;1289;0.65;16.00;1.48;2.16;1909;100.00;0;0;
2019-08-05T16:17;2019-08-05T16:27;cil-10.61.80.30.poll.cha_partition__3.topic_data;10833;0.02;3.33;0.16;18.06;1752;100.00;0;0;
2019-08-05T16:17;2019-08-05T16:27;cil-10.61.80.30.partitionsFor.SELECT topic, consumer_group FROM cpm_partition__3.topic_offset;1495;0.82;28.79;1.13;2.49;1694;100.00;0;0;
2019-08-05T16:17;2019-08-05T16:27;cil-10.61.80.16.poll.coba.notification_data;9300;0.02;4.84;0.17;15.50;1613;100.00;0;0;
2019-08-05T16:17;2019-08-05T16:27;cil-10.61.80.30.partitionsFor.SELECT topic, consumer_group FROM cha_partition__3.topic_offset;1495;0.82;3.26;1.06;2.49;1590;100.00;0;0;
2019-08-05T16:17;2019-08-05T16:27;cil-10.61.80.17.poll.coba.notification_data;9300;0.02;6.08;0.17;15.53;1578;100.00;0;0;
2019-08-05T16:17;2019-08-05T16:27;cil-10.61.80.30.poll.cpm_partition__1.topic_data;7383;0.02;4.70;0.19;12.31;1381;100.00;0;0;
2019-08-05T16:17;2019-08-05T16:27;cil-10.61.80.30.partitionsFor.SELECT topic, consumer_group FROM ntf_customer__3.topic_offset;1495;0.64;2.94;0.89;2.49;1329;100.00;0;0;
2019-08-05T16:17;2019-08-05T16:27;cil-10.61.80.30.partitionsFor.SELECT topic, consumer_group FROM cpi_customer__3.topic_offset;1495;0.61;2.45;0.86;2.49;1288;100.00;0;0;
2019-08-05T16:17;2019-08-05T16:27;cil-10.61.80.40.getKeyList.cpm.contactmediumspecification;278;1.84;24.13;2.93;0.46;813;100.00;0;0;
2019-08-05T16:17;2019-08-05T16:27;cil-10.61.80.9.sync-getRecursive.cpm_partition__3.customers;571;0.62;22.86;1.31;0.98;747;100.00;0;0;
2019-08-05T16:17;2019-08-05T16:27;cil-10.61.80.29.poll.cha_partition__1.topic_data;3932;0.02;2.61;0.17;6.55;686;100.00;0;0;
2019-08-05T16:17;2019-08-05T16:27;cil-10.61.80.30.poll.cpm_partition__3.topic_data;3930;0.03;3.59;0.17;6.55;665;100.00;0;0;
2019-08-05T16:17;2019-08-05T16:27;cil-10.61.80.9.sync-getRecursive.cpm_partition__2.customers;498;0.64;20.46;1.31;0.83;654;100.00;0;0;
2019-08-05T16:17;2019-08-05T16:27;cil-10.61.80.16.getRecursive.cpm_partition__1.customers;173;0.84;25.23;3.75;0.29;649;100.00;0;0;
2019-08-05T16:17;2019-08-05T16:27;cil-10.61.80.9.sync-getRecursive.cpm_partition__1.customers;471;0.63;24.05;1.37;0.79;645;100.00;0;0;
2019-08-05T16:17;2019-08-05T16:27;cil-10.61.80.28.poll.rmca.notification_data;3301;0.02;2.13;0.19;5.51;634;100.00;0;0;
2019-08-05T16:17;2019-08-05T16:27;cil-10.61.80.16.getRecursive.cpm_partition__2.customers;175;0.76;13.59;3.51;0.29;614;100.00;0;0;
2019-08-05T16:17;2019-08-05T16:27;cil-10.61.80.17.getRecursive.cpm_partition__1.customers;166;0.97;23.41;3.64;0.28;604;100.00;0;0;
2019-08-05T16:17;2019-08-05T16:27;cil-10.61.80.16.getRecursive.cpm_partition__3.customers;168;1.14;52.92;3.58;0.28;600;100.00;0;0;
2019-08-05T16:17;2019-08-05T16:27;cil-10.61.80.30.poll.cha_partition__1.topic_data;3931;0.02;2.45;0.15;6.55;587;100.00;0;0;
2019-08-05T16:17;2019-08-05T16:27;cil-10.61.80.5.poll.rmca.notification_data;3300;0.02;2.78;0.17;5.51;569;100.00;0;0;
2019-08-05T16:17;2019-08-05T16:27;cil-10.61.80.40.poll.rmca.notification_data;3300;0.03;2.89;0.17;5.52;567;100.00;0;0;
2019-08-05T16:17;2019-08-05T16:27;cil-10.61.80.16.poll.rmca.notification_data;3300;0.02;1.90;0.17;5.50;564;100.00;0;0;
2019-08-05T16:17;2019-08-05T16:27;cil-10.61.80.17.getRecursive.cpm_partition__2.customers;146;0.74;50.88;3.86;0.24;564;100.00;0;0;
2019-08-05T16:17;2019-08-05T16:27;cil-10.61.80.40.sync-getRecursive.cpm_partition__1.party;330;0.34;25.99;1.69;0.55;559;100.00;0;0;
2019-08-05T16:17;2019-08-05T16:27;cil-10.61.80.40.sync-getRecursive.cpm_partition__2.party;291;0.34;54.52;1.92;0.49;558;100.00;0;0;
2019-08-05T16:17;2019-08-05T16:27;cil-10.61.80.59.poll.rmca.notification_data;3300;0.02;3.17;0.16;5.51;539;100.00;0;0;
2019-08-05T16:17;2019-08-05T16:27;cil-10.61.80.17.poll.rmca.notification_data;3300;0.02;1.52;0.16;5.51;536;100.00;0;0;
2019-08-05T16:17;2019-08-05T16:27;cil-10.61.80.9.poll.rmca.notification_data;3300;0.03;1.87;0.16;5.51;535;100.00;0;0;
2019-08-05T16:17;2019-08-05T16:27;cil-10.61.80.29.poll.rmca.notification_data;3300;0.03;9.10;0.16;5.51;534;100.00;0;0;
2019-08-05T16:17;2019-08-05T16:27;cil-10.61.80.22.poll.rmca.notification_data;3300;0.02;2.06;0.15;5.51;504;100.00;0;0;
2019-08-05T16:17;2019-08-05T16:27;cil-10.61.80.30.poll.rmca.notification_data;3300;0.02;2.70;0.15;5.51;499;100.00;0;0;
2019-08-05T16:17;2019-08-05T16:27;cil-10.61.80.40.sync-getRecursive.cpm_partition__3.party;308;0.36;20.02;1.62;0.52;498;100.00;0;0;
2019-08-05T16:17;2019-08-05T16:27;cil-10.61.80.22.poll.ntf.notification_data;3000;0.02;2.55;0.16;5.01;477;100.00;0;0;
2019-08-05T16:17;2019-08-05T16:27;cil-10.61.80.16.getRecursive.cha_partition__1.customer_ha;134;0.55;20.10;3.50;0.22;468;100.00;0;0;
2019-08-05T16:17;2019-08-05T16:27;cil-10.61.80.17.getRecursive.cpm_partition__3.customers;144;0.74;8.85;3.23;0.24;465;100.00;0;0;
2019-08-05T16:17;2019-08-05T16:27;cil-10.61.80.16.getRecursive.cha_partition__2.customer_ha;136;0.63;18.78;3.42;0.23;464;100.00;0;0;
2019-08-05T16:17;2019-08-05T16:27;cil-10.61.80.30.poll.cpm_partition__2.topic_data;1966;0.04;3.79;0.23;3.28;450;100.00;0;0;
2019-08-05T16:17;2019-08-05T16:27;cil-10.61.80.59.poll.coba.notification_data;2700;0.02;1.93;0.17;4.51;447;100.00;0;0;
2019-08-05T16:17;2019-08-05T16:27;cil-10.61.80.17.getRecursive.cha_partition__2.customer_ha;110;0.49;53.07;4.00;0.18;439;100.00;0;0;
2019-08-05T16:17;2019-08-05T16:27;cil-10.61.80.17.getRecursive.cha_partition__1.customer_ha;121;0.51;21.42;3.55;0.20;429;100.00;0;0;
2019-08-05T16:17;2019-08-05T16:27;cil-10.61.80.29.poll.cpm_partition__2.topic_data;1968;0.03;2.08;0.21;3.28;421;100.00;0;0;
2019-08-05T16:17;2019-08-05T16:27;cil-10.61.80.16.getRecursive.cha_partition__3.customer_ha;127;0.44;50.92;3.31;0.21;420;100.00;0;0;
2019-08-05T16:17;2019-08-05T16:27;cil-10.61.80.9.sync-get.cpm.partition_lookup;512;0.32;18.85;0.78;0.86;401;100.00;0;0;
2019-08-05T16:17;2019-08-05T16:27;cil-10.61.80.29.poll.cpm_partition__1.topic_data;1964;0.03;2.97;0.20;3.27;391;100.00;0;0;
2019-08-05T16:17;2019-08-05T16:27;cil-10.61.80.16.getRecursive.cha_partition__3.customer_ttl;127;0.45;50.80;3.04;0.21;385;100.00;0;0;
2019-08-05T16:17;2019-08-05T16:27;cil-10.61.80.16.getRecursive.cha_partition__2.customer_la;136;0.50;11.71;2.83;0.23;385;100.00;0;0;
2019-08-05T16:17;2019-08-05T16:27;cil-10.61.80.17.getRecursive.cha_partition__2.customer_la;111;0.51;51.60;3.43;0.19;380;100.00;0;0;
2019-08-05T16:17;2019-08-05T16:27;cil-10.61.80.9.sync-get.cpm_partition__2.consumerlist;196;0.31;36.34;1.92;0.33;377;100.00;0;0;
